LOOK;Apink (에이핑크);/덤더럼(Dumhdurum)/Yummy/Be Myself/Love is Blind/Overwrite/너의 모든 순간을 사랑해/Everybody Ready?
슬기로운 의사생활 OST Part 5;어반자카파;/그대 고운 내사랑/그대 고운 내사랑 (Inst.)
덤디덤디 (DUMDi DUMDi);(여자)아이들;/덤디덤디 (DUMDi DUMDi)
CEREMONIA;엠씨더맥스 (M.C the MAX);/처음처럼/One Love (20th Edition)/처음처럼 (Inst.)
Nerdy Love (Feat. 백예린);pH-1;/Nerdy Love (Feat. 백예린)
MAP OF THE SOUL : 7;방탄소년단;/Intro : Persona/작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)/Make It Right/Jamais Vu/Dionysus/Interlude : Shadow/Black Swan/Filter/시차/Louder than bombs/ON/욱 (UGH!)/00:00 (Zero O’Clock)/Inner Child/친구/Moon/Respect/We are Bulletproof : the Eternal/Outro : Ego/ON (Feat. Sia) (Digital Only)
RANDOM BOX;지코;/Summer Hate (Feat. 비)/만화영화 (Cartoon)/웬수 (Feat. BIBI)/No you can't/Roommate
Eyes wide open;TWICE (트와이스);/I CAN’T STOP ME/HELL IN HEAVEN/UP NO MORE/DO WHAT WE LIKE/BRING IT BACK/BELIEVER/QUEEN/GO HARD/SHOT CLOCK/HANDLE IT/DEPEND ON YOU/SAY SOMETHING/BEHIND THE MASK
그 여름을 틀어줘;싹쓰리 (유두래곤, 린다G, 비룡);/그 여름을 틀어줘/그 여름을 틀어줘 (Inst.)
내일은 미스터트롯 우승자 특전곡;임영웅;/이제 나만 믿어요/이제 나만 믿어요 (Inst.)
I-LAND Part.1 Signal Song;아이유(IU);/Into the I-LAND
사춘기집Ⅱ 꽃 본 나비;볼빨간사춘기;/빈칸을 채워주시오/품/나비와 고양이 (feat. 백현 (BAEKHYUN))/카운슬링/민들레
슬기로운 의사생활 OST Part 12;미도와 파라솔;/너에게 난, 나에게 넌/너에게 난, 나에게 넌 (Inst.)
잔나비 소곡집 l;잔나비;/가을밤에 든 생각/한걸음/그 밤 그 밤/늙은 개/작전명 청-춘!
Bad Boy;청하;/Bad Boy
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현);규현 (KYUHYUN);/내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)/내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) (Inst.)
Ice Cream (with Selena Gomez);BLACKPINK;/Ice Cream (with Selena Gomez)
Happy;태연 (TAEYEON);/Happy
슬기로운 의사생활 OST Part 1;권진아;/Lonely Night/Lonely Night (Inst.)
낭만닥터 김사부 2 OST Part.1;백현(BAEKHYUN);/너를 사랑하고 있어/너를 사랑하고 있어 (Inst.)
PLAY;청하;/PLAY (Feat. 창모)
딩가딩가 (Dingga);마마무(Mamamoo);/딩가딩가 (Dingga)/딩가딩가 (Dingga) (Inst.)
The Book of Us : The Demon;DAY6 (데이식스);/해와 달처럼/Zombie/Tick Tock/Love me or Leave me/때려쳐/1 to 10/Afraid/Zombie (English Ver.)
슬기로운 의사생활 OST Part 8;휘인(Whee In);/내 눈물 모아/내 눈물 모아 (Inst.)
슬기로운 의사생활 OST Part 10;미도와 파라솔;/넌 따뜻해/밤이 깊었네 (Drama Ver.)/캐논 (Canon) (Drama Ver.)
밤새 (취향저격 그녀 X 카더가든);카더가든;/밤새 (취향저격 그녀 X 카더가든)/밤새 (취향저격 그녀 X 카더가든) (Inst.)
여름 안에서 by 싹쓰리;싹쓰리 (유두래곤, 린다G, 비룡);/여름 안에서 by 싹쓰리 (Feat. 황광희)/여름 안에서 by 싹쓰리 (Inst.)
힘든 건 사랑이 아니다;임창정;/힘든 건 사랑이 아니다/이미 널 잊었어/소확행/꽃길을 걸어요/돌아가고 싶다/괜찮은지 몰라서/우리는 어디에/ㅎ ㅎ ㅎ/젊은 날 그 사람/널 버릴 거야/3번 타자/괜찮은지 몰라서(with선민)/내 사랑 마법자/힘든 건 사랑이 아니다 inst./내 사랑 마법자 inst.
I trust;(여자)아이들;/Oh my god/사랑해/Maybe/LION/Oh my god (English Ver.)
Monster - The 1st Mini Album;레드벨벳-아이린&슬기;/Monster/놀이 (Naughty)/Diamond/Feel Good/Jelly/Uncover (Sung by 슬기) (Bonus Track)
시든 꽃에 물을 주듯;HYNN(박혜원);/시든 꽃에 물을 주듯/봄의 발라드 (With NILE(나일))/시든 꽃에 물을 주듯 (Inst.)/봄의 발라드 (With NILE(나일)) (Inst.)
내일은 미스터트롯 결승전 베스트;Various Artists;/역쩐인생:가난한 남자/나는 남자다/바람남/여백/찐이야/딱! 풀/두 주먹/남자라는 이유로/잃어버린 정/고맙소/누가 울어/내 삶의 이유 있음은/18세 순이/배신자/보약 같은 친구
장범준 3집;장범준;/당신과는 천천히/일산으로/노래방에서/그모습 그대로/엄마 용돈 좀 보내주세요/이밤/왜/상상속에서
Stay Tonight;청하;/Stay Tonight
사랑의 불시착 OST Part 10;Crush;/둘만의 세상으로 가/둘만의 세상으로 가 (Inst.)
Purpose - The 2nd Album Repackage;태연 (TAEYEON);/내게 들려주고 싶은 말 (Dear Me)/월식 (My Tragedy)/Here I Am/불티 (Spark)/Find Me/Love You Like Crazy/하하하 (LOL)/Better Babe/Wine/Do You Love Me?/City Love/Gravity/너를 그리는 시간 (Drawing Our Moments)
밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙);헤이즈(Heize);/밤하늘의 저 별처럼/밤하늘의 저 별처럼 (Inst.)
너도 아는;폴킴(Paul Kim);/너도 아는
MAP OF THE SOUL : 7;방탄소년단;/Intro : Persona/작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)/Make It Right/Jamais Vu/Dionysus/Interlude : Shadow/Black Swan/Filter/시차/Louder than bombs/ON/욱 (UGH!)/00:00 (Zero O’Clock)/Inner Child/친구/Moon/Respect/We are Bulletproof : the Eternal/Outro : Ego/ON (Feat. Sia) (Digital Only)
다시는 사랑하지 않고, 이별에 아파하기 싫어;백지영;/다시는 사랑하지 않고, 이별에 아파하기 싫어/다시는 사랑하지 않고, 이별에 아파하기 싫어 (Inst.)
바빠서;개코;/바빠서 (Feat. 헤이즈)
Bon Voyage;유아 (오마이걸);/숲의 아이 (Bon voyage)/날 찾아서 (Far)/Diver/자각몽 (Abracadabra)/End Of Story
with HER;Crush;/놓아줘 (with 태연)/Tip Toe (with 이하이)/춤 (with 이소라)/Step By Step (with 윤미래)/She Said (with BIBI)
두리쥬와 X LINDA X 신난다;싹쓰리 (유두래곤, 린다G, 비룡);/두리쥬와 (Feat. S.B.N)/LINDA (Feat. 윤미래)/신난다 (Feat. 마마무)/다시 여기 바닷가 (Acoustic Ver.)/두리쥬와 (Inst.)/LINDA (Inst.)/신난다 (Inst.)/다시 여기 바닷가 (Acoustic Ver.) (Inst.)
사이코지만 괜찮아 OST Part.4;이수현;/아직 너의 시간에 살아/아직 너의 시간에 살아 (inst.)
UNSTABLE MINDSET;윤하(Younha/ユンナ);/WINTER FLOWER(雪中梅)(Feat.RM)/먹구름/다음에 봐/스무살 어느 날/26
ALIEN;이수현;/ALIEN
